Transcript of https://www.youtube.com/watch?v=bmbL3YdInYg

0:1010 sec      [mūzika]
11:2611 minutes, 26 sec      Russia's invasion of Ukraine and kept its public finances in good on the through membership has also helped drive
11:3611 minutes, 36 sec      reforming up the banking system success in the fight against money laundering
11:4911 minutes, 49 sec      uses strengthen systems trust drawn in investment and the
11:5811 minutes, 58 sec      economy work better so in our assessment the story of the past 10 years overall
12:0512 minutes, 5 sec      is a positive one the honest is that for range
12:1812 minutes, 18 sec      rather faster that isunity latv sues and reigor the growth momentum
12:2812 minutes, 28 sec      moving forward and that is that requires reform and that is where this survey comes in with evidencebased
12:3612 minutes, 36 sec      recommendations to reinvigorate and sustain robust growth with increases in incomes, living standards and
12:4312 minutes, 43 sec      opportunity. So getting right into it, as you can see here, living standards in Latvia have moved significantly closer to the OECD average.
12:5512 minutes, 55 sec      2000 Latvia
13:0513 minutes, 5 sec      to 71% average but slowed as
13:1213 minutes, 12 sec      indeed there is need to really revitalize and reinvigorate the growth
13:1813 minutes, 18 sec      momentum to revital level of convergence Latvia
13:3013 minutes, 30 sec      20% below Lithuania prioret
13:3613 minutes, 36 sec      midle east towards February inflation in Latvia was onward path higher energy
13:4413 minutes, 44 sec      prices have since reversed that trajectory I mean here in countries around the world it has to be said in my
13:5113 minutes, 51 sec      year inflation 2.4% 4% in February
13:5913 minutes, 59 sec      financial markets appear financial market risks I should say appear contained but there is room to
14:0714 minutes, 7 sec      strengthen bank competition and deepen capital markets the amount of loans is
14:1414 minutes, 14 sec      low relative to deposits which means less money being channeled into the investments that fuel growth could loan
14:2414 minutes, 24 sec      interest rights requirements among the highest in euro area. Introducing a cap on fees for
14:3214 minutes, 32 sec      refinancing business loans could help increase competition and reduce loan interest rights. Listing minority shares
14:4014 minutes, 40 sec      of state on enterprises is another tool that would stimulate the development of capital markets here in Latvia. Looking
14:4914 minutes, 49 sec      ahead, we project the economy to grow at 1.9% this year and 2.2% next year after
14:5614 minutes, 56 sec      growth of 2.1% last year. Increas spending, public investment will support
15:0415 minutes, 4 sec      demand and encourage additional business investment. As mentioned inflation is somewhat higher coming down more slowly
15:1315 minutes, 13 sec      than previously anticipated we are expecting inflation to average about 3.6% this year and then to decline to about 3.2% 2% next year.
15:2515 minutes, 25 sec      I mean our surviv are all about the policy recommendations that we might highlight four policy priorities in this
15:3415 minutes, 34 sec      surve to boost the foundations of growth for Latvia and first the first area of recommendations
15:4315 minutes, 43 sec      to improving public finances strong fiscal discipline consistent with
15:4915 minutes, 49 sec      national and EU fiscal rules we would suggest required
15:5915 minutes, 59 sec      yellow trajectory public current policy settings
16:0916 minutes, 9 sec      green flood required orderly with national and EU fiscal rules under
16:1716 minutes, 17 sec      current policy settings and assuming no fiscal adjustment public deb increase from 47% GDP last year to just above
16:2616 minutes, 26 sec      100% of GDP by 2045 and of course fiscal pressures overall are growing. We
16:3316 minutes, 33 sec      project the budget deficit to reach 4.3% of GDP next year which is up from just 1.8%
16:4116 minutes, 41 sec      in 2024 and you know to extent that is driven higher defense requirements and of course there's also pressure on
16:5016 minutes, 50 sec      spending when it comes to health and social protection in particular so public spending efficiency will need
16:5816 minutes, 58 sec      to be improved Latvia spends more on publicly provided goods and services
17:0517 minutes, 5 sec      infrastructure education or healthc than the average OECD country GP
17:1817 minutes, 18 sec      expenditurey delivers optimum outcomes expendit
17:2617 minutes, 26 sec      level of outc can can be minimized is really going to be an important an important important
17:3317 minutes, 33 sec      discipline moving forward strengthening spending reviews policy impact evaluations
17:4017 minutes, 40 sec      con andate spending program effectiveness important area of attention we also
17:4817 minutes, 48 sec      suggest that there is scope to make the tax system more growth friendly and hence help drive a stronger growth
17:5817 minutes, 58 sec      momentum which also will help deliver stronger revenue flows for government revenues from property taxation are
18:0518 minutes, 5 sec      relatively low in Latvia 2.1% compared to the average of 5% updating tax assessment values based on the
18:1418 minutes, 14 sec      actual market values of properties would help ensure more equal tax treatment for housing and land relative to other
18:2118 minutes, 21 sec      assets by contrast liber taxes here in Latvia like taxes
18:2718 minutes, 27 sec      on income income as a result of work for low income earners are high in Latvia compared to countries which is one of
18:3618 minutes, 36 sec      the reasons taxes lower income earners incentives to
18:4718 minutes, 47 sec      work incentives declare income and hence move more peopleal
18:5518 minutes, 55 sec      to the formal economy tax enforcement can also be improved further informality has decreased in recent
19:0319 minutes, 3 sec      years but it is still at a high 21.4% GPU
19:1919 minutes, 19 sec      informality income tax declaration use electronic invoices should in fact become mandatory
19:2919 minutes, 29 sec      second enhancing public administration capacity public employment has risen significantly in recent years and that's
19:3619 minutes, 36 sec      a government employees accounted for 24% of total employment as of 2023 which is
19:4319 minutes, 43 sec      up 19% in 2019 and significantly above the OECD average of 18%
19:5219 minutes, 52 sec      overlapping functions within the public administration create administrave burdens and avoidable fiscal cost and in
19:5919 minutes, 59 sec      the context of an overall shrinking working population having a larger proportion of the workforce in the
20:0720 minutes, 7 sec      private sector and and a proportion that is more aligned with the OECD average and Europeans in in the region in the
20:1420 minutes, 14 sec      public sector you know would also help drive stronger growth and reduce expenditure at the same time reviews of
20:2220 minutes, 22 sec      government functions conducted across ministries would help streamline public bodies and contain public sector staffing cost and we certainly think
20:2920 minutes, 29 sec      that there is scope for a comprehensive systematic order of all government functions to optim
20:3720 minutes, 37 sec      effen administration has made some important progress in reducing administ on businesses when we
20:4620 minutes, 46 sec      have the OECD product market regulation indicators which compares the quality of regulations across different OECD
20:5520 minutes, 55 sec      economies and it's a measure of regulatory barriers to business activity and and that has fallen significantly in Latvia since 2018 and so that's a big
21:0421 minutes, 4 sec      tick more
21:1521 minutes, 15 sec      consuming in Latvia in Estonia Lithuania and average no reason that there's no
21:2421 minutes, 24 sec      good reason for that to be the case I should say further reducing and simplifying regulations and procedures accelerating data sharing and use of II
21:3421 minutes, 34 sec      and Other digital tools across the public administration we would suggest are important.
21:4121 minutes, 41 sec      Public procurement is another public procurement is another key area for reform. Latvia spent about
21:4921 minutes, 49 sec      15% of GDP on public procurement in 2024 which is above the OECD average. So
21:5621 minutes, 56 sec      expanding centralized procurement of standardized goods and services which are still often procured separately by individual public bodies could generate
22:0522 minutes, 5 sec      significant cost savings across the government.
22:1022 minutes, 10 sec      Third the third area of policy priority that we focus on relates to improving health outcomes.
22:1922 minutes, 19 sec      Improving health outcomes is key to improve productivity and wellbeing and to alleviate liborages. So there
22:2722 minutes, 27 sec      obviously quality of life benefits but also real economic benefits from
22:3422 minutes, 34 sec      improving public health outcomes. Life expectancy in Latvia is comparatively
22:4022 minutes, 40 sec      low especially for men. The life expectancy of Latvian men sit just above
22:4822 minutes, 48 sec      70 years of age. It's the lowest among all OECD countries. The lowest among all
22:5522 minutes, 55 sec      countries and 10 years shorter than the life expectancy for Latvian women.
23:0523 minutes, 5 sec      syis more effending public spending health is
23:1523 minutes, 15 sec      comparatively low in Latvia it around 4% of GDP which is well below the OECD average of 6% of GDP an increase in the
23:2423 minutes, 24 sec      budget would help reduce writing times and expand the coverage of services and reimburse medicines and and wider use of digital tools such as digital records in
23:3423 minutes, 34 sec      healthc administration couldove service provision lower now you know it has to
23:4123 minutes, 41 sec      be said unhealthy lifestyles related to high consumption of alcohol and tobac unbalanced diets and low physical
23:5023 minutes, 50 sec      activity are a key cause of Latvia's low life expectancy lat consume more alcohol
23:5823 minutes, 58 sec      than adults in any other countrying to increase taxes on alcohol, tobacco and sweeten beverages and to strengthen
24:0624 minutes, 6 sec      restrictions on the advertising and style of alcohol and tobacco would be important measures to help improve public health outcomes.
24:1624 minutes, 16 sec      tackling climate change after significant fall in greenhouse gas emissions between 1990 and 2005
24:2524 minutes, 25 sec      the of reduction in emissions slowed Latvia's emissions in 2023 were still at 90% of their 2005
24:3424 minutes, 34 sec      levels this data excludes landuse landuse change and forestry sector but including this sector would
24:4224 minutes, 42 sec      in fact show an increase in total emissions
24:5324 minutes, 53 sec      emissions high commit
25:0025 minutesuse public transport average other EU countries and implenting plans to establish a metropolitan transit
25:0825 minutes, 8 sec      authority in the RA area would certainly help coordinate infrastructure planning and improve
25:1725 minutes, 17 sec      Green land forestry increas 2005
25:2525 minutes, 25 sec      netions positive emissions drivers increase drainage organic soils
25:3325 minutes, 33 sec      for extra weak forest management restoring dr peatlands and promoting collective forest management practices
25:4125 minutes, 41 sec      among small private owners emissions
25:5025 minutes, 50 sec      extruction forestry and wood processing of course important economic activities in several latvian regions understand
25:5925 minutes, 59 sec      that the green transition would impact and other jobs which is why public policy will need to play an important
26:0726 minutes, 7 sec      role in helping workers that are impacted by the green transition and through other structural
26:2026 minutes, 20 sec      skills new approaches skills development upskillingkilling order facilitate
26:2826 minutes, 28 sec      transition to new jobs however public spending on job search support and training in Latvia is comparatively
26:3626 minutes, 36 sec      lower than in the other two Baltic countries and across the OECD
26:5026 minutes, 50 sec      harun green transv marketen
27:0227 minutes, 2 sec      number of economically harmful extreme weather eventsen
27:0927 minutes, 9 sec      of area exposed Extreme river flooding is highest in Latvia across the OECD.
27:1527 minutes, 15 sec      Introducing mandatory climate risk insurance improving drainage systems would support stronger climate adaptation and help
27:2427 minutes, 24 sec      reduce economic of the impact of extreme weather events
27:3027 minutes, 30 sec      even as they occur. So in closing Latvia's economy has grown strongly over
27:3827 minutes, 38 sec      the last decade and and and even before that Latvia's economy has shown resilience in a challenging
27:4627 minutes, 46 sec      international environment supported by reforms that have improved conditions for investment and business growth but
27:5327 minutes, 53 sec      to boost productivity and improve living standards further and to sustain continued convergence with higher income
28:0128 minutes, 1 secondcountries momentum keyid
28:0928 minutes, 9 sec      surve strengthening public spending efficiency and public administration capacity improving health outcomes and
28:1628 minutes, 16 sec      accelerating the green transition so we look forward to continuing our work together with the government of Latvia
28:2428 minutes, 24 sec      and and all stakeholders across Latvia over the next 10 years as we have over the past 10 years and thank you so much for giving
28:5028 minutes, 50 sec      Uzrunai mūsu priekšā aicinu šobrīd arī augsti godājamo Latvijas Republikas ekonomikas ministru Viktoru Valaini.
28:5728 minutes, 57 sec      Sagaidām. Lūdzu.
29:0429 minutes, 4 sec      Ekselences, dāmas un kungi. Vispirms vēlos pateikties OCī ģenerālsekretāram par lielisko prezentāciju un arī
29:1129 minutes, 11 sec      personīgi pateikties paldies par to uzmanību, ko jūs personīgi esiet veltījis Latvijai pēdējos gados. Jau ceturtā vizīte šeit Latvijā, tas tiešām
29:1929 minutes, 19 sec      ir nozīmīgi. Un šī sadarbība kopā ar visu programmu, tai skaitā arī sagatavojot šo padziļināto kvalitatīvo analīzi par Latvijas ekonomiku, tiešām
29:2929 minutes, 29 sec      palīdz arī mums pilnveidot arī savas politikas, lai mēs varētu ciešāk rūpēties par mūsu Latvijas ekonomisko
29:3729 minutes, 37 sec      izaugsmi. Šis pārskats ir īpaši nozīmīgs arī tādēļ, ka tas sakrīt ar 10 gadiem kopš Latvijas pievienošanās OECD. Un
29:4529 minutes, 45 sec      šajā laikā OECD kļuvis par nozīmīgu partneri mūsu reformu īstenošanā, nodrošināt neatkarīgu analīzi un
29:5329 minutes, 53 sec      palīdzību stiprināt Latvijas ekonomisko politiku ilgtermiņā.
29:5729 minutes, 57 sec      Ucid ekonomikas pārskats par Latviju ir sagatavots laikā, kad saglabājā augsta nenoteiktība starptautiskajā vidē, ģeopolitisko risku, drošības
30:0530 minutes, 5 sec      izaicinājumu un globālo ekonomisko pārmaiņu kontekstā. Šādos apstākļos īpaši būtiski ir uz faktiem balstīta
30:1230 minutes, 12 sec      analīze un skaidri politikas ieteikumi, kas palīdz pieņemt lēmumus.
30:1730 minutes, 17 sec      Latvijas valdības galvenais mērķis ir stiprināt ekonomisko noturību, veicināt izaugsmi un konkurētspēju, jo tas ir pamats iedzīvotāju labklājībai un valsts drošībai.
30:2730 minutes, 27 sec      Ekonomikas attīstība un strukturālie izaicinājumi, kādi mums ir šodien. Kā norāda arī OECD pārskats, pēc sarežģītāka perioda Latvijas ekonomikai
30:3530 minutes, 35 sec      ir vērojamas pakāpeniskas atveseļošanās pazīmes, ka ko veicina algu pieaugums, inflācijas samazināšanās un Eiropas
30:4230 minutes, 42 sec      Savienības fonda investīcijas. Tomēr vienlaikus OECD uzsver, ka strukturāls izaicinājums vāja investīciju un inovāciju līmena darbaspēka
30:5030 minutes, 50 sec      samazināšanos un nepietiekam produktivitātes izaugsmi. Tas nozīmē, ka izaugsme neradīsies pati no sevis, un
30:5930 minutes, 59 sec      mums ir jāpaina reformas. Un īpaši nozīmīga loma ir investīciju veicināšanai. Un šeit es vēlētos
31:0631 minutes, 6 sec      uzsvērt, ka vairākas vairākās jomās mēs jau esam spēruši ļoti konkrētus soļus.
31:1031 minutes, 10 sec      ir veikti pasākumi banku sektora konkurences stiprināšanā, kas šajā gadā ir nes ekstra 1,8 miljardi mūsu
31:1731 minutes, 17 sec      ekonomikai. Samazinātas refinansēšanas izmaksas un veicināta klientu mobilitāte, kas jau veicina kreditēšanu,
31:2431 minutes, 24 sec      vairāk kā 10.000 iedzīvotāju šo iespēju ir izmantojuši, bet biznesa regulējums, kā mēs redzam
31:3131 minutes, 31 sec      arī šī gada rekomendācijās, vēl ir priekšā.
31:3531 minutes, 35 sec      Tāpat ir uzsākta diskusija un sagatavota risinājumi kapitāltirgus attīstībai un valsts kapitālsabiedrību iziešanai
31:4231 minutes, 42 sec      biržā, kā to rekomendē OECD. Un arī šis process jau ir būtiski sācies, un arī vakardien pirmā, pirmā valsts
31:4931 minutes, 49 sec      kapitālsabiedrība, kas nav stratēģiski nozīmīga Latvijas autoceļu uzturētājs, ir iespējams iegādāties akcijas un, un
31:5631 minutes, 56 sec      arī aicina ikvien izmantot šo iespēju, kamēr tāda ir tā kā. Bet tas ir lielisks tasks piemērs tam, ka mēs speram šos soļus un reāli tiek pieņemti arī lēmumi.
32:0632 minutes, 6 sec      Un tieši OECD skaidri norāde nepieciešams turpināt šos virzienus, lai uzlabotu piekļu finansējumu un veicinātu investīcijas.
32:1532 minutes, 15 sec      Publiskās finanses un nodokļu politika arī ir ļoti daudz uzrunāta šajā ziņojumā, un OECD pārskatas uzsver, ka Latvijai būs jāspēj vienlaikus finansēt
32:2332 minutes, 23 sec      aizsardzību, veselību un sociālo aizsardzību, kas būs viens no lielākajiem izaicinājumiem, lai vienlaikus arī spētu saglabāt fiskālo
32:3132 minutes, 31 sec      ilgtspēju, kas būs, pie kā būs jāstrādā visiem kopā. Vienlaikus šajā jomā jau tiek izstrādāta, jau tiek strādāts, tiek
32:3932 minutes, 39 sec      samazināta nodokļu administrācija un digitālie risinājumi. Valsts ieņēmumu dienesta reforma ir viens no spilgtākajiem piemēriem.
32:4632 minutes, 46 sec      Tiek paplašināta dažādi e-risinājumu paplašināšana un arī tiek maz, kas tādā veidā mazina arī ēnu ekonomiku. Veikt
32:5432 minutes, 54 sec      pasākumu cīņā pret naudas atmazgāšanu un korupciju, kas uzlabojas Latvijas finanšu sistēmas uzticamību. Un šobrīd mēs esam vieni no pasaulē labākajiem. Ē,
33:0233 minutes, 2 sec      ja mēs skatāmies pēc montējuma, ko Latvija ir šobrīd ieguvusi OECD rekomendācijā, šeit arī, šeit arī ir
33:1033 minutes, 10 sec      skaidrs, vēl vairāk jāstiprina nodokļu bāze un jāuzlabo sistēmas efektivitāte. Kolēģi, arī jautājumi par
33:1833 minutes, 18 sec      enerģētikas un zaļās pārejas jautājumiem. Šeit arī mēs redzam skaidru progresu, un svarīgi atzīmēt, ka OECD pārstāvā tiek atzīts, ka Latvijai ir
33:2733 minutes, 27 sec      būtisks progress enerģētikas jomā. Un to mēs redzam, mēs esam atslēgušies no Krievijas enerģētikas sistēmas, esam integrējušies Eiropas tīklā, kas būtiski
33:3633 minutes, 36 sec      uzlabo enerģētisko drošību. Un Latvijā šobrīd ir augsts atjauno energoresursu īpatsvars. Un tas ir labs pamats tālākai
33:4333 minutes, 43 sec      attīstībai. Vienlaikus mēs redzam arī šīs politikas dotos rezultātus, jo Latvija pirmo reizi kopš neatkarības kaut uz vienu dienu bija lētākā enerģija visās Eiropas Savienības dalībvalstīs.
33:5533 minutes, 55 sec      Mēs visi labi zinām, ka visa skaitīšana sākas no skaitļa viens. Un es domāju, ka nākotnē šādas dienas būs vairāk, ja mēs turpināsim realizēt šo politiku.
34:0434 minutes, 4 sec      Vienlaikus OECD uzsver nepieciešam paātrināti ieguldījumu tīklos atjaunojamā enerģijā un energoefektivitātē, kam jābūt kā
34:1234 minutes, 12 sec      valdības prioritātēm. Īpaši svarīgs uzsvars ir cilvēkkapitāla veselība un darba tirgus jautājumiem. Cilvēkkapitāls viens no galvenajiem OECD pārskata
34:2034 minutes, 20 sec      akcentiem, kam vēlētos pievērst īpašu uzmanību. Šeit ir gan izaicinājumi, gan skaidri rīcības virzieni. Un īpaši vēlos
34:2734 minutes, 27 sec      pievērst uzmanību veselības aprūpes sistēmai, kur ir nepieciešams papildus finansējums un efektivitātes uzlabojumi.
34:3534 minutes, 35 sec      Šīm lietām jāseko vienai otrai. Tās nevar skatīt atrauti. Tikai ar reformām mēs šo situāciju neuzlabosim. ir nepieciešams būtiski palielināt
34:4434 minutes, 44 sec      finansējumu, lai mēs šos ļoti satraucošos datus, ko mēs redzam, kādi ir mūsu iedzīvotāju veselības stāvoklis, būtiski mainītu.
34:5434 minutes, 54 sec      Tāpat ir jāstiprina preventīvie pasākumi un jāuzlabo piekļuve pakalpojumiem, lai mazinātu dažādās rindas, kas ir šobrīd
35:0235 minutes, 2 sec      veselības aprūpē. Vienlaikus valdība jau strādā pie veselības digitalizācijas attīstības, darba tirgus politikas uzlabošanas, prasmju attīstības
35:1035 minutes, 10 sec      sistēmas, filmu pilnveides un publiskā pārvalde. Arī reformas ir sāktas, bet tām jānotiek ir daudz lielākā apjomā, nekā mēs tā esam realizējuši līdz šim.
35:2135 minutes, 21 sec      Un OS skaidri uzsver publiskās pārvaldes kapacitātes nozīme, kur kur mēs šobrīd tiešām varam veikt būtiskus uzlabojumus.
35:3235 minutes, 32 sec      Šajā jomā mums ir veikti daži ļoti nozīmīgi soļi, piemēram, digitalizācijas jomā un datu izmantošanas uzlabošanām.
35:4035 minutes, 40 sec      Te es īpaši [nokrekšķinās] gribētu izcelt darbu, kas notiek pie administratīvā sloga mazināšanas un regulējuma vienkāršošanas. Un būtisks
35:4735 minutes, 47 sec      progress ir panākts arī būvniecības jomā. Latvijā šobrīd ir starp top OECD dalībvalstīm pēc būvniecības atļauju
35:5435 minutes, 54 sec      saņemšanas ātruma, kas atspoguļo īstenoto digitalizācijas un procesu un īstenotās reformas, kas ir
36:0136 minutes, 1 secondvienkāršojušas šo procesu. Tas lielā mērā ir ļāvis arī mums šogad īstenot kādu citu jau agrāko ECD reformu, kas
36:1036 minutes, 10 sec      aicināja būvēt reģionos mājoklus, lai veicinātu ekonomisko aktivitāti reģionos. Šogad tie būs 1200 mājokļi,
36:1736 minutes, 17 sec      kas tiks uzbūvēti tieši reģionos, kas arī ir bijis viena no senākām OECD rekomendācijām, bet šodien mēs to spējam
36:2536 minutes, 25 sec      realizēt pietiekoši ātri, pateicoties veiktajām reformām būvniecības regulējumā. Un tas parāda,
36:3336 minutes, 33 sec      ka mērķtiecīgas reformas var dot taustāmus rezultātus uzņēmējdarbības vides uzlabošanā. Taču OECD pareizi
36:4036 minutes, 40 sec      aicina vēl vairāk stiprināt koordināciju, datu apmaiņu un politikas ietekmes novēršanu un, un savstarpējo koordināciju starp ministrijām daudzās
36:4936 minutes, 49 sec      jomās, jo šie labie piemēri parāda to, ja mēs šīs lietas implementēsim daudz plašākā mērogā, mēs sasniegsim daudz labākus rezultātus.
36:5936 minutes, 59 sec      Noslēgumā, dāmas un kungi, OECD ekonomikas pārstats skaidri parāda, Latvija ir uz pareizā ceļa, bet reformas ir jāīsteno vēl atkarīvāk un
37:0737 minutes, 7 sec      mērķtiecīgāk, īpaši, kas attiecā uz valsts centrālā aparāta efektivitāti. Mēs jau esam uzsākuši
37:1537 minutes, 15 sec      virkni nozīmīgu pasākumu finanšu sektorā, enerģētikā, publiskajā pārvaldē un nodokļu jomā. Tāpēc tagad ir svarīgāk šos virzienus turpināt un padziļināt.
37:2537 minutes, 25 sec      Vēlos vēlreiz pateikt paldies visai OECD komandai par profesionālu darba rekomendācijām un esmu pārliecināts, ka tās mums palīdzēs pieņemt labākus
37:3337 minutes, 33 sec      lēmumus, stiprināt Latvijas ekonomiku ilgtermiņā, jo šie ieteikumi ir ņemti no reālās dzīves, no tiem veiksmes stāstiem, kas ir OECD dalībvalstīs, kur, kur šīs reformas reāli dzīvē ir veiktas.
37:4537 minutes, 45 sec      Savā ziņā šis ir tiešām 10. gads, un mēs jau šodien no rīta pārrunājot, mēs šo pārskati skatām ļoti zīmīgā laikā. ir
37:5437 minutes, 54 sec      arī jauna valdība un ir arī šobrīd jau sācies priekšvēlēšanu periods. Tāpēc es arī izmantošu šo iespēju un aicināšu arī
38:0138 minutes, 1 secondpolitiskās partijas nekautrēties un izmantot šīs rekomendācijas, liktās iekšā savās politisko partiju programmās, jo tieši šie virzieni būs
38:0938 minutes, 9 sec      tie, kas palīdzēs daudz straujāk attīstīt Latvijas ekonomiku un palīdzēt uzlabot dzīves apstākļus ikvienam no mums. Tā kā
38:1838 minutes, 18 sec      nekautrējieties un arī, kolēģi, izmantojiet šīs iespējas un šīs idejas, kas ir šajā pētījumā. Viņas mums visiem kopā būs pēc tam jārealizē. Paldies.
38:2738 minutes, 27 sec      Paldies. Ministra kungs, [aplausi] aicinu ņemt vietu uz skatuves jautājumiem, atbildēm. Your excellency, we invite you to the stage for the Q& and A session.
38:4038 minutes, 40 sec      Dāmas un kungi, jautājumu un atbilžu laiks uzrunāja arī klātesošos mediju pārstāvjus. Ja vēlaties uzdot kādus jautājumus arī publiski. Ladies and gentlem, time for the Q&A session.
38:5238 minutes, 52 sec      Please do raise your hand. If there are any media representatives who want to ask a question public, this is also chance. Lūdzu, dāmas un kungi, jūsu
39:0039 minutesjautājumi. Kurš mums ir pirmais? Lūgums nosaukt vārdu, uzvārdu, kuru organizāciju pārstāvat un kāds ir jūsu jautājums? Lūdzu.
39:0939 minutes, 9 sec      Hello, my name is Ivo Butkevč. I forv3 News here in Latvia and I have a question to the secretary general of OECD.
39:1739 minutes, 17 sec      A lot of the ideas and the reforms proposed in your analysis are more or less the same. They were two years ago
39:2539 minutes, 25 sec      in the same event and the event before that again two years before that. Why do you believe that there is such a I don't
39:3339 minutes, 33 sec      know gap between what the experts are proposing and what the politicians are able to implement in the end.
39:4239 minutes, 42 sec      Well, the first point I would make is that structural reform is a marathon not
39:5039 minutes, 50 sec      sprint and for structural reform to successful over the medium to long term which is
39:5739 minutes, 57 sec      what we need you of course need to get public consensus behind structural reform proposals as important as they
40:0640 minutes, 6 sec      are and in that context both our role as experts and the role
40:2040 minutes, 20 sec      dimension easier andsid
40:2840 minutes, 28 sec      withouting about public opinion any point
40:3640 minutes, 36 sec      to objective evidence presentation of of some of what we see and for that to generate public
40:4540 minutes, 45 sec      conversation for that to help generate discussion and in time help build public support we hope towards necessary and
40:5440 minutes, 54 sec      important reforms that ultimately strengthen economic growth opportunities and help deliver higher incomes and
41:0141 minutes, 1 secondhigher living standards but you know I'm been minister for finance in Australia
41:0841 minutes, 8 sec      in the past. understand about challenges of you knowing
41:1541 minutes, 15 sec      people of the need of reforms that can be difficult in the short term in order to deliver benefits of the medium to long term and so i have great respect
41:2441 minutes, 24 sec      for those who put themselves forward as elected representatives and and understand the challenges involv
41:3341 minutes, 33 sec      so in a way i mean we do see that over the last 10 years looking
41:4741 minutes, 47 sec      and there is more time more
41:5641 minutes, 56 sec      understand you understand marathonation with with people.
42:0942 minutes, 9 sec      Thank you. Next question, please. Lūdzu, dāmas un kungi, nākamais jautājums.
42:1442 minutes, 14 sec      Maybe we can take one question from the online viewers that are here as well and the question is has anyone followed through with what has happened to the
42:2242 minutes, 22 sec      previous recommendations? Are there any penalties for changing things? Well, we are all about providing encouragement
42:3042 minutes, 30 sec      and and you know as I say I mean when when you look at what Latvia has achieved over the last decade I mean
42:3742 minutes, 37 sec      growth above inflation of 4.6% 6% per year you know well above the OECD average and and with real tangible
42:4542 minutes, 45 sec      upside benefits in terms of incomes and living standards in Latvia compared to where you were a decade ago and you know
